Designator,Footprint,Quantity,Value,LCSC Part #
BOOT1,SW_Push_1P1T_XKB_TS-1187A,1,SW_Push,C381038
BREAKOUT_PINS1,PinHeader_2x06_P2.54mm_Vertical,1,Conn_02x06_Odd_Even,
C1,0805,1,10uF,C5189822
"C2, C9",0805,2,1uF,C215803
"C3, C7, C8",0805,3,4u7,
C4,0805,1,0.1uF,C28378
C5,0805,1,1uF,C5189822
C6,0805,1,1uF,C28378
"D1, D7",0805,2,LED,
D3,0805,1,LED,C192672
D4,0805,1,LED,C192319
D5,0805,1,LED,C192320
DISPLAY_SSD1351,PinSocket_1x07_P2.54mm_Vertical,1,Conn_01x07_Socket,C22438073
J1,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,1,Conn_01x02_Socket,
J4,USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A,1,USB_C_Receptacle_USB2.0_16P,C393939
J7,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,lipo,
Q2,SOT-23,1,2N7002,
"R1, R2, R3, R6",0805,4,1K,C17513
"R11, R8",0805,2,1k5,
R12,0805,1,3k9,
R13,0805,1,100R,
"R14, R7, R9",0805,3,10k,
R15,0805,1,100k,
"R4, R5",0805,2,5.1k,C104375
RESET1,SW_Push_1P1T_XKB_TS-1187A,1,SW_Push,
"SW1, SW2, SW3",SW_Push_1P1T_NO_6x6mm_H9.5mm,3,SW_Push,C381038
SW4,SW_DPDT_CK_JS202011JCQN,1,SW_SPDT,C221666
U1,SOT-23-3,1,XC6206PxxxMR,
U11,SOT-23-6,1,SRV05-4,
U2,SOIC-8_3.9x4.9mm_P1.27mm,1,ESP-PSRAM32,
U3,XCVR_ESP32-S2-MINI-1,1,ESP32-S2-MINI-2,C3013906
U4,VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm,1,BQ24075RGT,
