Designator,Mid X,Mid Y,Rotation,Layer
BOOT1,179.225,-107.2,180.0,bottom
BREAKOUT_PINS1,183.14,-97.88,270.0,top
C1,199.65625,-66.74375,0.0,top
C2,175.503911,-82.970964,135.0,top
C3,193.1975,-93.31,180.0,top
C4,198.15625,-72.49375,0.0,top
C5,198.15625,-74.59375,0.0,top
C6,196.00625,-66.79375,180.0,top
C7,201.2975,-93.21,0.0,top
C8,195.1975,-98.41,270.0,top
C9,174.25,-106.15,270.0,bottom
D1,209.15,-71.9,180.0,top
D3,174.65,-60.625,45.0,top
D4,177.6,-60.575,45.0,top
D5,180.525,-60.575,45.0,top
D7,209.0,-94.95,180.0,top
DISPLAY_SSD1351,170.45,-83.215,180.0,top
J4,189.975,-53.34,180.0,top
J7,194.5,-64.55,0.0,bottom
Q2,202.04375,-71.74375,180.0,top
R1,175.1,-63.1,45.0,top
R11,193.1975,-95.51,180.0,top
R12,199.2975,-98.41,270.0,top
R13,198.85625,-69.64375,270.0,top
R14,201.70625,-68.89375,0.0,top
R15,200.35,-91.05,0.0,top
R2,178.0,-63.1,45.0,top
R3,180.8,-63.2,45.0,top
R4,194.1,-61.3,270.0,top
R5,185.95,-61.3,270.0,top
R6,206.25,-95.65,270.0,top
R7,192.6,-69.6,90.0,top
R8,196.75,-91.0625,180.0,top
R9,201.2975,-95.41,0.0,top
RESET1,201.675,-107.075,180.0,bottom
SW1,179.225,-107.2,180.0,top
SW2,190.5,-109.4,180.0,top
SW3,201.675,-107.075,180.0,top
SW4,202.75,-59.2,0.0,top
U1,195.65625,-69.64375,180.0,top
U11,189.7625,-61.35,90.0,top
U2,207.4,-73.45,270.0,bottom
U3,187.253911,-81.554416,45.0,top
U4,197.25,-94.3,180.0,top
